feature,importance
AMT_REQ_CREDIT_BUREAU_WEEK,0.0015048792
ELEVATORS_AVG,0.0013889923
FLOORSMIN_AVG,0.0013333033
NAME_FAMILY_STATUS_Single / not married,0.0013200735
FLAG_EMAIL,0.0013120937
FONDKAPREMONT_MODE_org spec account,0.0012180757
CC_DPD_MAX,0.0010457842
CC_DPD_COUNT,0.0008911915
FLAG_DOCUMENT_5,0.0008836821
CC_DPD_RATIO,0.00078700786
FLAG_DOCUMENT_8,0.0007758707
AMT_REQ_CREDIT_BUREAU_DAY,0.0007271753
FLAG_DOCUMENT_13,0.00065401813
REG_REGION_NOT_LIVE_REGION,0.00056837656
BUREAU_MAX_DAYS_OVERDUE,0.0005328629
NAME_TYPE_SUITE_Other_B,0.0005242127
FLAG_DOCUMENT_18,0.00043009868
NAME_TYPE_SUITE_Other_A,0.0004230266
FLAG_CONT_MOBILE,0.0003638777
WALLSMATERIAL_MODE_Wooden,0.00032611817
ELEVATORS_MEDI,0.00031871905
RECENT_INQUIRIES,0.00028948372
BUREAU_MAX_OVERDUE,0.0002710384
LIVE_REGION_NOT_WORK_REGION,0.0001562329
FLAG_DOCUMENT_11,9.120515e-05
BUREAU_MEAN_DAYS_OVERDUE,7.001778e-05
FLAG_DOCUMENT_16,4.5563254e-05
HOUSETYPE_MODE_specific housing,0.0
HOUSETYPE_MODE_terraced house,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_15,0.0
WALLSMATERIAL_MODE_Others,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_10,0.0
NAME_FAMILY_STATUS_Unknown,0.0
FLAG_DOCUMENT_21,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_4,0.0
FLAG_MOBIL,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_19,0.0
NAME_TYPE_SUITE_Group of people,0.0
FLAG_DOCUMENT_17,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
